hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
611,0,Poles,0,1,Burn,2
612,0,Single,1,1,Burn,0
613,0,Single,1,1,Burn,1
614,0,Single,1,1,Burn,0
615,0,Poles,1,1,Car,0
616,0,Single,0,1,Burn,0
617,0,Single,1,1,Car,0
618,0,Single,1,1,Burn,0
619,0,Single,1,1,Burn,2
620,0,Single,1,1,Burn,0
621,0,Single,1,1,Car,0
622,0,Single,0,1,Car,1
623,0,Single,0,1,Car,0
624,0,Single,0,1,Car,1
625,0,Single,1,1,Dump,0
626,0,Single,1,1,Burn,0
627,0,Single,1,1,Car,1
628,1,Single,1,1,Car,0
629,0,Single,1,1,Burn,2
630,0,Single,1,1,Car,1
631,1,Single,1,1,Car,1
632,0,Townhouse,1,1,Car,0
633,0,Poles,0,1,Car,0
634,1,Single,1,1,Car,2
635,0,Poles,0,1,Car,1
636,0,Poles,1,Unknown,Car,0
637,0,Single,1,Unknown,Burn,0
638,0,Poles,1,Unknown,Car,0
639,0,Poles,0,1,Burn,1
640,0,Single,1,1,Car,0
641,0,Single,0,Unknown,Dump,0
642,1,Single,1,1,Car,0
643,0,Poles,0,1,Burn,1
644,0,Single,1,1,Burn,1
645,0,Single,1,1,Car,1
646,0,Poles,0,1,Car,0
647,1,Single,1,1,Burn,0
648,0,Single,1,1,Burn,0
649,0,Single,0,1,Burn,1
650,0,Single,1,1,Burn,0
651,0,Single,1,Unknown,Car,0
652,1,Single,1,1,Car,0
653,0,Single,1,1,Burn,0
654,0,Single,1,1,Car,0
655,0,Single,1,1,Burn,0
656,1,Single,1,1,Car,0
657,0,Single,1,1,Burn,0
658,0,Poles,0,1,Car,1
659,0,Single,1,1,Burn,0
660,0,Single,1,Unknown,Car,0
661,1,Townhouse,1,1,Dump,0
662,0,Townhouse,1,Unknown,Car,0
663,0,Poles,0,1,Burn,0
664,0,Poles,0,1,Burn,1
665,0,Single,1,Unknown,Dump,3
666,0,Single,1,1,Burn,0
667,0,Poles,1,1,Burn,2
668,0,Single,1,1,Car,1
669,0,Single,0,1,Car,0
670,1,Single,1,1,Car,0
671,0,Poles,1,1,Car,0
672,0,Poles,0,1,Burn,1
673,0,Single,1,1,Car,0
674,1,Poles,1,1,Burn,0
675,0,Single,1,1,Car,0
676,1,Single,1,1,Car,0
677,1,Single,1,1,Car,1
678,0,Single,1,1,Car,0
679,0,Single,0,Unknown,Car,0
680,1,Single,1,Unknown,Car,0
681,0,Single,0,Unknown,Car,0
682,0,Single,1,1,Burn,1
683,0,Single,1,1,Burn,0
684,1,Single,1,1,Dump,0
685,0,Single,1,Unknown,Dump,0
686,0,Single,1,1,Burn,0
687,0,Single,1,1,Burn,1
688,0,Single,1,1,Car,1
689,0,Single,1,Unknown,Car,0
690,1,Single,1,1,Burn,0
691,0,Single,1,1,Car,1
692,0,Poles,0,1,Car,2
693,0,Single,1,1,Car,1
694,0,Single,1,Unknown,Burn,0
695,0,Single,1,Unknown,Burn,1
696,0,Single,1,1,Car,1
697,0,Single,1,1,Burn,1
698,0,Single,1,1,Burn,0
699,0,Poles,0,1,Car,1
700,1,Single,1,1,Burn,0
701,0,Poles,0,1,Burn,1
702,0,Single,1,1,Car,0
703,1,Poles,1,1,Car,1
704,0,Single,1,1,Car,0
705,0,Single,1,1,Burn,0
706,0,Single,0,1,Burn,1
707,1,Single,1,1,Car,0
708,0,Poles,0,1,Car,1
709,1,Single,1,1,Car,0
710,0,Single,0,1,Car,0
711,0,Single,1,Unknown,Burn,1
712,0,Single,1,1,Burn,2
713,0,Poles,0,1,Burn,1
714,0,Single,1,1,Burn,0
715,1,Single,1,1,Car,0
716,0,Single,1,1,Car,1
717,0,Single,0,1,Burn,1
718,0,Single,1,1,Burn,1
719,0,Poles,1,1,Car,0
720,0,Single,1,1,Burn,1
721,1,Townhouse,1,1,Car,1
722,1,Townhouse,1,1,Car,0
723,0,Single,0,1,Car,2
724,1,Single,1,Unknown,Burn,0
