measure_name,location_name,fips,race_name,sex_name,age_name,cause_name,year,metric_name,val,upper,lower
Deaths,Siskiyou County,6093,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Solano County,6095,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Solano County,6095,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Solano County,6095,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Solano County,6095,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Solano County,6095,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Solano County,6095,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sonoma County,6097,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sonoma County,6097,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sonoma County,6097,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Sonoma County,6097,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
